"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"","","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8"
"12","CITS","85.00 (7.9800)","65.00 (10.6700)","80.00 (8.9400)","70.00 (10.2500)","35.00 (10.6700)","90.00 (6.7100)","90.00 (6.7100)","85.00 (7.9800)","70.00 (10.2500)","50.00 (11.1800)","90.00 (6.7100)","90.00 (6.7100)","85.00 (7.9800)","75.00 (9.6800)","50.00 (11.1800)"
"12","CITS(rho = 0.4)","95.00 (4.8700)","70.00 (10.2500)","65.00 (10.6700)","65.00 (10.6700)","50.00 (11.1800)","85.00 (7.9800)","85.00 (7.9800)","65.00 (10.6700)","75.00 (9.6800)","30.00 (10.2500)","85.00 (7.9800)","85.00 (7.9800)","90.00 (6.7100)","75.00 (9.6800)","45.00 (11.1200)"
"12","Trd","80.00 (8.9400)","80.00 (8.9400)","60.00 (10.9500)","75.00 (9.6800)","70.00 (10.2500)","80.00 (8.9400)","65.00 (10.6700)","55.00 (11.1200)","70.00 (10.2500)","75.00 (9.6800)","80.00 (8.9400)","85.00 (7.9800)","90.00 (6.7100)","85.00 (7.9800)","60.00 (10.9500)"
"14","CITS","90.00 (6.7100)","85.00 (7.9800)","70.00 (10.2500)","60.00 (10.9500)","60.00 (10.9500)","90.00 (6.7100)","75.00 (9.6800)","90.00 (6.7100)","75.00 (9.6800)","50.00 (11.1800)","95.00 (4.8700)","65.00 (10.6700)","80.00 (8.9400)","65.00 (10.6700)","30.00 (10.2500)"
"14","CITS(rho = 0.4)","90.00 (6.7100)","75.00 (9.6800)","60.00 (10.9500)","60.00 (10.9500)","70.00 (10.2500)","75.00 (9.6800)","75.00 (9.6800)","75.00 (9.6800)","80.00 (8.9400)","70.00 (10.2500)","75.00 (9.6800)","75.00 (9.6800)","80.00 (8.9400)","80.00 (8.9400)","55.00 (11.1200)"
"14","Trd","75.00 (9.6800)","90.00 (6.7100)","80.00 (8.9400)","65.00 (10.6700)","65.00 (10.6700)","80.00 (8.9400)","80.00 (8.9400)","65.00 (10.6700)","80.00 (8.9400)","85.00 (7.9800)","90.00 (6.7100)","80.00 (8.9400)","90.00 (6.7100)","75.00 (9.6800)","65.00 (10.6700)"
"16","CITS","90.00 (6.7100)","80.00 (8.9400)","85.00 (7.9800)","80.00 (8.9400)","50.00 (11.1800)","95.00 (4.8700)","95.00 (4.8700)","75.00 (9.6800)","75.00 (9.6800)","40.00 (10.9500)","75.00 (9.6800)","80.00 (8.9400)","85.00 (7.9800)","70.00 (10.2500)","45.00 (11.1200)"
"16","CITS(rho = 0.4)","85.00 (7.9800)","75.00 (9.6800)","70.00 (10.2500)","70.00 (10.2500)","55.00 (11.1200)","85.00 (7.9800)","95.00 (4.8700)","70.00 (10.2500)","70.00 (10.2500)","45.00 (11.1200)","75.00 (9.6800)","95.00 (4.8700)","75.00 (9.6800)","75.00 (9.6800)","40.00 (10.9500)"
"16","Trd","80.00 (8.9400)","60.00 (10.9500)","65.00 (10.6700)","55.00 (11.1200)","85.00 (7.9800)","80.00 (8.9400)","45.00 (11.1200)","60.00 (10.9500)","65.00 (10.6700)","55.00 (11.1200)","85.00 (7.9800)","65.00 (10.6700)","65.00 (10.6700)","60.00 (10.9500)","75.00 (9.6800)"
"18","CITS","90.00 (6.7100)","80.00 (8.9400)","75.00 (9.6800)","85.00 (7.9800)","60.00 (10.9500)","80.00 (8.9400)","85.00 (7.9800)","90.00 (6.7100)","70.00 (10.2500)","45.00 (11.1200)","100.00 (0.0000)","75.00 (9.6800)","90.00 (6.7100)","75.00 (9.6800)","65.00 (10.6700)"
"18","CITS(rho = 0.4)","90.00 (6.7100)","85.00 (7.9800)","70.00 (10.2500)","95.00 (4.8700)","75.00 (9.6800)","80.00 (8.9400)","95.00 (4.8700)","80.00 (8.9400)","70.00 (10.2500)","70.00 (10.2500)","85.00 (7.9800)","70.00 (10.2500)","75.00 (9.6800)","80.00 (8.9400)","70.00 (10.2500)"
