"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0",12,"Small","Controlled interrupted time series(CITS)","-0.0495 (0.1374)","-0.0087 (0.0015)","89.03 (0.3400)","12.86 (0.3600)","0.1374 (0.1253)","0.0190 (0.0003)",-0.0408
"0",12,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0469 (0.1943)","-0.0061 (0.0021)","81.38 (0.4200)","20.05 (0.4300)","0.1943 (0.1449)","0.0378 (0.0006)",-0.0408
"0",12,"Small","Multivariable negative binomial regression(Trd)","-0.0316 (0.3867)","0.0092 (0.0041)","80.95 (0.4200)","18.87 (0.4200)","0.3867 (0.3052)","0.1496 (0.0023)",-0.0408
"0",12,"Moderate","Controlled interrupted time series(CITS)","-0.3660 (0.1363)","-0.0093 (0.0015)","88.92 (0.3400)","81.89 (0.4100)","0.1363 (0.1255)","0.0187 (0.0003)",-0.3567
"0",12,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3638 (0.1926)","-0.0071 (0.0021)","81.30 (0.4200)","68.46 (0.5000)","0.1926 (0.1454)","0.0371 (0.0006)",-0.3567
"0",12,"Moderate","Multivariable negative binomial regression(Trd)","-0.3469 (0.3894)","0.0098 (0.0042)","80.66 (0.4200)","33.10 (0.5000)","0.3894 (0.3042)","0.1517 (0.0023)",-0.3567
"0",12,"Large","Controlled interrupted time series(CITS)","-0.5224 (0.1369)","-0.0116 (0.0015)","88.98 (0.3400)","97.35 (0.1700)","0.1369 (0.1254)","0.0189 (0.0003)",-0.5108
"0",12,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5214 (0.1946)","-0.0106 (0.0021)","80.99 (0.4200)","89.09 (0.3300)","0.1946 (0.1445)","0.0380 (0.0006)",-0.5108
"0",12,"Large","Multivariable negative binomial regression(Trd)","-0.5074 (0.3916)","0.0034 (0.0042)","80.42 (0.4300)","45.66 (0.5300)","0.3916 (0.3068)","0.1533 (0.0024)",-0.5108
"0",14,"Small","Controlled interrupted time series(CITS)","-0.0505 (0.1253)","-0.0097 (0.0013)","89.80 (0.3200)","12.42 (0.3500)","0.1253 (0.1150)","0.0158 (0.0002)",-0.0408
"0",14,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0496 (0.1806)","-0.0088 (0.0019)","81.91 (0.4100)","19.37 (0.4200)","0.1806 (0.1359)","0.0327 (0.0005)",-0.0408
"0",14,"Small","Multivariable negative binomial regression(Trd)","-0.0420 (0.3598)","-0.0012 (0.0039)","81.73 (0.4100)","18.14 (0.4100)","0.3598 (0.2832)","0.1294 (0.0020)",-0.0408
"0",14,"Moderate","Controlled interrupted time series(CITS)","-0.3652 (0.1246)","-0.0085 (0.0013)","89.51 (0.3300)","87.50 (0.3500)","0.1246 (0.1144)","0.0156 (0.0002)",-0.3567
"0",14,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3635 (0.1777)","-0.0068 (0.0019)","82.44 (0.4100)","72.93 (0.4800)","0.1777 (0.1352)","0.0316 (0.0005)",-0.3567
"0",14,"Moderate","Multivariable negative binomial regression(Trd)","-0.3453 (0.3565)","0.0114 (0.0038)","81.16 (0.4200)","34.07 (0.5100)","0.3565 (0.2786)","0.1272 (0.0019)",-0.3567
"0",14,"Large","Controlled interrupted time series(CITS)","-0.5204 (0.1244)","-0.0096 (0.0013)","89.99 (0.3200)","98.68 (0.1200)","0.1244 (0.1157)","0.0156 (0.0002)",-0.5108
"0",14,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5197 (0.1767)","-0.0089 (0.0019)","82.44 (0.4100)","92.21 (0.2900)","0.1767 (0.1358)","0.0313 (0.0005)",-0.5108
