"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"","","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8"
"12","CITS","-0.0340 (0.1291)","-0.0088 (0.2023)","-0.0817 (0.2022)","-0.0448 (0.2400)","-0.0743 (0.4948)","-0.4197 (0.1261)","-0.3405 (0.1275)","-0.3707 (0.1828)","-0.3624 (0.2777)","-0.2544 (0.3537)","-0.5169 (0.1118)","-0.5259 (0.1337)","-0.4792 (0.1697)","-0.5577 (0.2516)","-0.5319 (0.4428)"
"12","CITS(rho = 0.4)","-0.0806 (0.1777)","0.0305 (0.2075)","-0.0525 (0.2303)","-0.0420 (0.2604)","0.0084 (0.4810)","-0.4598 (0.1992)","-0.3584 (0.1505)","-0.4132 (0.1958)","-0.3225 (0.2038)","-0.3245 (0.4555)","-0.5129 (0.1834)","-0.5067 (0.1862)","-0.5182 (0.1596)","-0.5811 (0.2436)","-0.4765 (0.4563)"
"12","Trd","-0.0086 (0.4183)","-0.0094 (0.5071)","-0.2284 (0.5930)","-0.0514 (0.5129)","-0.1484 (0.4257)","-0.4423 (0.3669)","-0.5125 (0.4491)","-0.4550 (0.5596)","-0.2305 (0.4739)","-0.1434 (0.5252)","-0.4476 (0.3835)","-0.5018 (0.4388)","-0.4972 (0.3628)","-0.3854 (0.3305)","-0.5857 (0.5600)"
"14","CITS","-0.0333 (0.1235)","0.0025 (0.1255)","0.0002 (0.1891)","-0.0325 (0.2473)","0.0609 (0.3395)","-0.3330 (0.1495)","-0.3102 (0.1290)","-0.3031 (0.1875)","-0.3126 (0.2376)","-0.2635 (0.3685)","-0.5168 (0.1223)","-0.5539 (0.1859)","-0.5306 (0.2144)","-0.4090 (0.2136)","-0.5641 (0.5400)"
"14","CITS(rho = 0.4)","-0.0523 (0.1675)","-0.0688 (0.1807)","0.0033 (0.2238)","-0.0706 (0.2890)","0.0246 (0.3473)","-0.3001 (0.2089)","-0.2992 (0.1776)","-0.2932 (0.1909)","-0.3686 (0.2252)","-0.2497 (0.3700)","-0.5342 (0.1584)","-0.5758 (0.1758)","-0.5047 (0.1768)","-0.4574 (0.1698)","-0.5199 (0.4137)"
"14","Trd","0.0627 (0.3474)","-0.0581 (0.4182)","-0.1354 (0.3810)","0.0254 (0.4761)","0.0068 (0.5445)","-0.4125 (0.4110)","-0.3658 (0.3539)","-0.3295 (0.5106)","-0.3056 (0.4552)","-0.2386 (0.4468)","-0.5126 (0.3000)","-0.6439 (0.3011)","-0.4849 (0.2908)","-0.4297 (0.4751)","-0.6504 (0.5783)"
"16","CITS","-0.0165 (0.1051)","0.0226 (0.1271)","-0.0278 (0.1269)","-0.0766 (0.2061)","-0.1706 (0.3937)","-0.3473 (0.1367)","-0.3079 (0.1208)","-0.3489 (0.2077)","-0.3360 (0.1849)","-0.3670 (0.4091)","-0.5135 (0.1303)","-0.5195 (0.1489)","-0.4302 (0.1287)","-0.5905 (0.2286)","-0.7113 (0.4144)"
