"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"","","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8"
"12","CITS","20.00 (8.9400)","35.00 (10.6700)","35.00 (10.6700)","30.00 (10.2500)","50.00 (11.1800)","100.00 (0.0000)","80.00 (8.9400)","80.00 (8.9400)","65.00 (10.6700)","70.00 (10.2500)","100.00 (0.0000)","95.00 (4.8700)","85.00 (7.9800)","90.00 (6.7100)","80.00 (8.9400)"
"12","CITS(rho = 0.4)","15.00 (7.9800)","25.00 (9.6800)","35.00 (10.6700)","35.00 (10.6700)","40.00 (10.9500)","80.00 (8.9400)","85.00 (7.9800)","85.00 (7.9800)","55.00 (11.1200)","65.00 (10.6700)","100.00 (0.0000)","95.00 (4.8700)","85.00 (7.9800)","100.00 (0.0000)","70.00 (10.2500)"
"12","Trd","20.00 (8.9400)","20.00 (8.9400)","30.00 (10.2500)","25.00 (9.6800)","35.00 (10.6700)","40.00 (10.9500)","45.00 (11.1200)","45.00 (11.1200)","30.00 (10.2500)","55.00 (11.1200)","35.00 (10.6700)","40.00 (10.9500)","55.00 (11.1200)","30.00 (10.2500)","45.00 (11.1200)"
"14","CITS","5.00 (4.8700)","15.00 (7.9800)","30.00 (10.2500)","40.00 (10.9500)","40.00 (10.9500)","75.00 (9.6800)","75.00 (9.6800)","70.00 (10.2500)","75.00 (9.6800)","45.00 (11.1200)","100.00 (0.0000)","95.00 (4.8700)","80.00 (8.9400)","70.00 (10.2500)","80.00 (8.9400)"
"14","CITS(rho = 0.4)","15.00 (7.9800)","30.00 (10.2500)","40.00 (10.9500)","40.00 (10.9500)","30.00 (10.2500)","60.00 (10.9500)","65.00 (10.6700)","60.00 (10.9500)","75.00 (9.6800)","50.00 (11.1800)","95.00 (4.8700)","100.00 (0.0000)","90.00 (6.7100)","80.00 (8.9400)","65.00 (10.6700)"
"14","Trd","20.00 (8.9400)","10.00 (6.7100)","15.00 (7.9800)","35.00 (10.6700)","35.00 (10.6700)","35.00 (10.6700)","40.00 (10.9500)","55.00 (11.1200)","35.00 (10.6700)","30.00 (10.2500)","50.00 (11.1800)","65.00 (10.6700)","55.00 (11.1200)","45.00 (11.1200)","65.00 (10.6700)"
"16","CITS","10.00 (6.7100)","25.00 (9.6800)","10.00 (6.7100)","25.00 (9.6800)","45.00 (11.1200)","90.00 (6.7100)","80.00 (8.9400)","65.00 (10.6700)","60.00 (10.9500)","70.00 (10.2500)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","95.00 (4.8700)","80.00 (8.9400)"
"16","CITS(rho = 0.4)","15.00 (7.9800)","25.00 (9.6800)","20.00 (8.9400)","30.00 (10.2500)","45.00 (11.1200)","75.00 (9.6800)","75.00 (9.6800)","80.00 (8.9400)","70.00 (10.2500)","45.00 (11.1200)","95.00 (4.8700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","85.00 (7.9800)"
"16","Trd","20.00 (8.9400)","40.00 (10.9500)","35.00 (10.6700)","40.00 (10.9500)","15.00 (7.9800)","30.00 (10.2500)","55.00 (11.1200)","25.00 (9.6800)","60.00 (10.9500)","55.00 (11.1200)","65.00 (10.6700)","35.00 (10.6700)","40.00 (10.9500)","45.00 (11.1200)","45.00 (11.1200)"
"18","CITS","10.00 (6.7100)","30.00 (10.2500)","30.00 (10.2500)","15.00 (7.9800)","40.00 (10.9500)","85.00 (7.9800)","100.00 (0.0000)","90.00 (6.7100)","75.00 (9.6800)","65.00 (10.6700)","100.00 (0.0000)","100.00 (0.0000)","100.00 (0.0000)","95.00 (4.8700)","65.00 (10.6700)"
"18","CITS(rho = 0.4)","10.00 (6.7100)","20.00 (8.9400)","30.00 (10.2500)","15.00 (7.9800)","25.00 (9.6800)","75.00 (9.6800)","95.00 (4.8700)","90.00 (6.7100)","75.00 (9.6800)","60.00 (10.9500)","100.00 (0.0000)","95.00 (4.8700)","100.00 (0.0000)","90.00 (6.7100)","65.00 (10.6700)"
