"rho","n","EstimandScenario","j","Method","estimate","se","pvalue","converged","true_B"
"0",12,"Small",1,"Trd",0.92088500750717,0.295790515272074,0.00185007014543133,TRUE,-0.0408
"0",12,"Small",1,"CITS",-0.111297293443314,0.118762487037146,0.348685611305939,TRUE,-0.0408
"0",12,"Small",1,"CITS_0.4_constant",-0.204022796944621,0.133436304381913,0.126266882281075,TRUE,-0.0408
"0",12,"Small",1,"CITS_spill_3pct",-0.00170882411309833,0.0878383424400829,0.98447877838802,TRUE,-0.0408
"0",12,"Small",2,"Trd",-0.000124569221327553,0.235429362107162,0.99957782728152,TRUE,-0.0408
"0",12,"Small",2,"CITS",0.042583468014898,0.100888710729124,0.672964013988619,TRUE,-0.0408
"0",12,"Small",2,"CITS_0.4_constant",-0.0229042655506243,0.121358811468034,0.850303035604135,TRUE,-0.0408
"0",12,"Small",2,"CITS_spill_3pct",0.0750926676340748,0.0882463945096088,0.394800916476619,TRUE,-0.0408
"0",12,"Small",3,"Trd",0.106638148715474,0.320697877372117,0.739497368769674,TRUE,-0.0408
"0",12,"Small",3,"CITS",-0.0554112008025449,0.0712901241186563,0.437003412423538,TRUE,-0.0408
"0",12,"Small",3,"CITS_0.4_constant",-0.0993508937222609,0.149522611094711,0.506399795179121,TRUE,-0.0408
"0",12,"Small",3,"CITS_spill_3pct",0.0501223006319111,0.0979508248520657,0.608854815008673,TRUE,-0.0408
"0",12,"Small",4,"Trd",0.318999272836543,0.261458492359379,0.222436005777958,TRUE,-0.0408
"0",12,"Small",4,"CITS",-0.0563463637789582,0.102733002640521,0.583366591509313,TRUE,-0.0408
"0",12,"Small",4,"CITS_0.4_constant",-0.355689330511683,0.135322137291543,0.00857715001163353,TRUE,-0.0408
"0",12,"Small",4,"CITS_spill_3pct",-0.0424941175599845,0.0959279587834349,0.657780575152117,TRUE,-0.0408
"0",12,"Small",5,"Trd",-0.0572090663595637,0.192066430599732,0.765809385104282,TRUE,-0.0408
"0",12,"Small",5,"CITS",-0.212662504675871,0.0961872977912879,0.027041316779527,TRUE,-0.0408
"0",12,"Small",5,"CITS_0.4_constant",-0.22870298175739,0.109438812156705,0.0366376152892684,TRUE,-0.0408
"0",12,"Small",5,"CITS_spill_3pct",-0.0919447785408815,0.0889331771069172,0.301199913382433,TRUE,-0.0408
"0",12,"Small",6,"Trd",-0.332156750118234,0.347461921838321,0.339096731375473,TRUE,-0.0408
"0",12,"Small",6,"CITS",-0.029567881986431,0.0960232915499497,0.758140115925425,TRUE,-0.0408
"0",12,"Small",6,"CITS_0.4_constant",-0.194174011436528,0.124151585032388,0.11781580463338,TRUE,-0.0408
"0",12,"Small",6,"CITS_spill_3pct",0.0760856082035264,0.0835185518456798,0.362294064786164,TRUE,-0.0408
"0",12,"Small",7,"Trd",-0.675841060524816,0.181968486886313,0.000203964027210572,TRUE,-0.0408
"0",12,"Small",7,"CITS",0.00210302959894691,0.0840283071036776,0.980032922873854,TRUE,-0.0408
"0",12,"Small",7,"CITS_0.4_constant",-0.0306806113917097,0.0976738128693308,0.7534352395572,TRUE,-0.0408
"0",12,"Small",7,"CITS_spill_3pct",0.142732710349097,0.0956197361535693,0.135512638074542,TRUE,-0.0408
"0",12,"Small",8,"Trd",-0.0406862790504562,0.210732545738979,0.84690360289101,TRUE,-0.0408
"0",12,"Small",8,"CITS",0.104319236476438,0.104504767857118,0.318170430597424,TRUE,-0.0408
"0",12,"Small",8,"CITS_0.4_constant",0.130340318282663,0.119560202962246,0.275640579756212,TRUE,-0.0408
"0",12,"Small",8,"CITS_spill_3pct",0.302053732406228,0.107409274697916,0.00492076443369599,TRUE,-0.0408
"0",12,"Small",9,"Trd",-0.199330274053624,0.288719606940501,0.489946471228241,TRUE,-0.0408
"0",12,"Small",9,"CITS",-0.025806300830404,0.096165111339516,0.788426775574566,TRUE,-0.0408
"0",12,"Small",9,"CITS_0.4_constant",0.0753894221989237,0.105298742654311,0.474017605682768,TRUE,-0.0408
"0",12,"Small",9,"CITS_spill_3pct",0.11939294128975,0.088391480635916,0.176782240754136,TRUE,-0.0408
"0",12,"Small",10,"Trd",0.0264516622733849,0.25225567697485,0.916486484119813,TRUE,-0.0408
"0",12,"Small",10,"CITS",-0.18222612142601,0.113474263347872,0.108300140404771,TRUE,-0.0408
"0",12,"Small",10,"CITS_0.4_constant",-0.128871640941511,0.140789506511211,0.360008044310331,TRUE,-0.0408
"0",12,"Small",10,"CITS_spill_3pct",-0.0688234363966313,0.123977699911541,0.578807422160557,TRUE,-0.0408
"0",12,"Small",11,"Trd",0.0722717625335204,0.391291389856951,0.853463859400801,TRUE,-0.0408
"0",12,"Small",11,"CITS",0.172692092328511,0.0556949678719358,0.00193078938039797,TRUE,-0.0408
"0",12,"Small",11,"CITS_0.4_constant",0.142596306846785,0.17198158257964,0.407026844941552,TRUE,-0.0408
"0",12,"Small",11,"CITS_spill_3pct",0.292161351483234,0.0962324560934314,0.00239742547203931,TRUE,-0.0408
"0",12,"Small",12,"Trd",0.153546788491271,0.337717390345965,0.649353436359482,TRUE,-0.0408
"0",12,"Small",12,"CITS",0.188665477195541,0.0691088775708269,0.00633392143777728,TRUE,-0.0408
"0",12,"Small",12,"CITS_0.4_constant",-0.054344153730431,0.0837659079103889,0.516492101004352,TRUE,-0.0408
"0",12,"Small",12,"CITS_spill_3pct",0.30669904505918,0.0949176779306755,0.00123266907298943,TRUE,-0.0408
"0",12,"Small",13,"Trd",-0.0388745520172379,0.41401916801934,0.925192139311029,TRUE,-0.0408
"0",12,"Small",13,"CITS",0.104182218363008,0.135876871249978,0.44323617702897,TRUE,-0.0408
"0",12,"Small",13,"CITS_0.4_constant",0.325464134364667,0.293736660022949,0.267856059735197,TRUE,-0.0408
"0",12,"Small",13,"CITS_spill_3pct",0.19871230678489,0.13896386541555,0.152729454437549,TRUE,-0.0408
"0",12,"Small",14,"Trd",-0.0478024532655487,0.400857463713198,0.905076898270101,TRUE,-0.0408
"0",12,"Small",14,"CITS",-0.0405818793850695,0.177966235601368,0.819621875580588,TRUE,-0.0408
"0",12,"Small",14,"CITS_0.4_constant",-0.228975347800366,0.17146423731715,0.181741639148637,TRUE,-0.0408
"0",12,"Small",14,"CITS_spill_3pct",0.107240836610758,0.16254331320131,0.509402879702031,TRUE,-0.0408
"0",12,"Small",15,"Trd",-0.600268452612775,0.320956848866373,0.0614495824236207,TRUE,-0.0408
"0",12,"Small",15,"CITS",0.00498877333761457,0.11566295897089,0.965596320424782,TRUE,-0.0408
"0",12,"Small",15,"CITS_0.4_constant",0.0187076870832537,0.106479615236316,0.860535400259184,TRUE,-0.0408
"0",12,"Small",15,"CITS_spill_3pct",0.123227484450805,0.0981019435392573,0.209073681143746,TRUE,-0.0408
"0",12,"Small",16,"Trd",-0.633415303095433,0.222128374376096,0.00435034785133374,TRUE,-0.0408
"0",12,"Small",16,"CITS",-0.0515523673124038,0.129046843006254,0.689535364667672,TRUE,-0.0408
"0",12,"Small",16,"CITS_0.4_constant",0.00237753277854198,0.104937779078351,0.981924198976257,TRUE,-0.0408
