"","","","","","","","","","","","","","","","",""
"Length of series (n)","Method","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Small effect (-0.0408)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Moderate effect (-0.3567)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)","Large effect (-0.5108)"
"","","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8","0.0","0.2","0.4","0.6","0.8"
"12","Trd","0.0068 (0.4359)","-0.0124 (0.4306)","-0.0281 (0.4576)","0.0289 (0.4812)","-0.0380 (0.5050)","-0.3204 (0.3849)","-0.3433 (0.4143)","-0.3439 (0.4382)","-0.3249 (0.5299)","-0.3557 (0.4728)","-0.4701 (0.3588)","-0.5000 (0.4329)","-0.5930 (0.4191)","-0.4569 (0.5379)","-0.4611 (0.4690)"
"12","CITS","-0.0449 (0.1233)","-0.0435 (0.1380)","-0.0509 (0.1706)","-0.0548 (0.2301)","-0.0269 (0.2653)","-0.3432 (0.1312)","-0.3638 (0.1420)","-0.3569 (0.1640)","-0.3662 (0.2193)","-0.3724 (0.2771)","-0.5047 (0.1234)","-0.5232 (0.1540)","-0.5031 (0.1698)","-0.5234 (0.2152)","-0.5032 (0.3036)"
"12","CITS_0.4_constant","-0.0502 (0.2111)","-0.0739 (0.2516)","-0.0519 (0.2784)","-0.0479 (0.3397)","-0.0590 (0.4992)","-0.3762 (0.2091)","-0.3886 (0.2245)","-0.3984 (0.2694)","-0.4018 (0.3457)","-0.4068 (0.4920)","-0.5308 (0.2075)","-0.5487 (0.2297)","-0.5688 (0.3021)","-0.5277 (0.3731)","-0.5192 (0.4447)"
"14","Trd","-0.0424 (0.3595)","-0.0136 (0.4304)","-0.0358 (0.4144)","-0.0934 (0.4771)","0.0288 (0.5212)","-0.2937 (0.3804)","-0.3313 (0.3845)","-0.3717 (0.4508)","-0.3576 (0.4666)","-0.3522 (0.4868)","-0.5063 (0.4141)","-0.5315 (0.3681)","-0.5090 (0.4539)","-0.4771 (0.5029)","-0.4957 (0.5054)"
"14","CITS","-0.0494 (0.1184)","-0.0450 (0.1380)","-0.0186 (0.1578)","-0.0284 (0.2179)","-0.0367 (0.3095)","-0.3683 (0.1274)","-0.3650 (0.1298)","-0.3464 (0.1668)","-0.3657 (0.2166)","-0.3278 (0.2790)","-0.5104 (0.1109)","-0.5214 (0.1319)","-0.5092 (0.1560)","-0.5207 (0.2099)","-0.5520 (0.3025)"
"14","CITS_0.4_constant","-0.2188 (0.1863)","-0.1918 (0.2211)","-0.2380 (0.2694)","-0.2107 (0.3335)","-0.1703 (0.4808)","-0.5444 (0.1856)","-0.5487 (0.1910)","-0.5087 (0.2737)","-0.5611 (0.3314)","-0.5576 (0.4699)","-0.6991 (0.1911)","-0.7145 (0.2223)","-0.6976 (0.2778)","-0.6923 (0.3419)","-0.7375 (0.4741)"
"16","Trd","-0.0326 (0.3370)","-0.0687 (0.3550)","-0.0512 (0.4161)","-0.0939 (0.4909)","0.0333 (0.5245)","-0.3498 (0.3294)","-0.3383 (0.3818)","-0.3059 (0.4104)","-0.3134 (0.4790)","-0.2964 (0.5409)","-0.5043 (0.3701)","-0.5203 (0.3608)","-0.4557 (0.4494)","-0.4380 (0.5282)","-0.4071 (0.4752)"
