"rho","n","EstimandScenario","Method","R_total","R_converged","nonconv_rate","true_val","B_hat","Bias","MCSE_Bias","Bias_percent","MSE_estimate","MCSE_MSE","coverage","MCSE_coverage","power","MCSE_power","Empirical_SE","avg_model_SE","ratio_Emp_ModelSE","power_pct","MCSE_power_pct","coverage_pct","MCSE_cov_pct"
"0",12,"Small","CITS",8688,8688,0,-0.0408,-0.0497,-0.0089,0.0015,21.81,0.0189,0.000287633853425227,0.890078268876611,0.0034,0.128337937384899,0.0036,0.1373,0.1252,1.0966,12.83,0.36,89.01,0.34
"0",12,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.0471,-0.0063,0.0021,15.44,0.0377,0.000571101559129518,0.814111418047882,0.0042,0.200161141804788,0.0043,0.194,0.1448,1.3398,20.02,0.43,81.41,0.42
"0",12,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.0558,0.0966,0.0015,236.76,0.0283,0.000388774356623073,0.788674033149171,0.0044,0.146178637200737,0.0038,0.1376,0.1252,1.099,14.62,0.38,78.87,0.44
"0",12,"Small","Trd",8688,8688,0,-0.0408,-0.0316,0.0092,0.0041,22.55,0.1496,0.00231339456211875,0.809507366482505,0.0042,0.188651012891344,0.0042,0.3867,0.3052,1.267,18.87,0.42,80.95,0.42
"0",12,"Moderate","CITS",8688,8688,0,-0.3567,-0.3661,-0.0094,0.0015,2.64,0.0187,0.000293498689828884,0.889042357274402,0.0034,0.819636279926335,0.0041,0.1363,0.1255,1.0861,81.96,0.41,88.9,0.34
"0",12,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.364,-0.0073,0.0021,2.05,0.037,0.000563442214215786,0.813420810313076,0.0042,0.685197974217311,0.005,0.1923,0.1452,1.3244,68.52,0.5,81.34,0.42
"0",12,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2614,0.0953,0.0015,26.72,0.0274,0.000385401344763366,0.796846224677716,0.0043,0.586210865561694,0.0053,0.1355,0.1256,1.0788,58.62,0.53,79.68,0.43
"0",12,"Moderate","Trd",8688,8688,0,-0.3567,-0.3469,0.0098,0.0042,2.75,0.1517,0.00228744721368105,0.806629834254144,0.0042,0.331031307550645,0.005,0.3894,0.3042,1.2801,33.1,0.5,80.66,0.42
"0",12,"Large","CITS",8688,8688,0,-0.5108,-0.5226,-0.0118,0.0015,2.31,0.0189,0.00029316253381333,0.889732965009208,0.0034,0.973526703499079,0.0017,0.1368,0.1253,1.0918,97.35,0.17,88.97,0.34
"0",12,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.5216,-0.0108,0.0021,2.11,0.0379,0.0005961121479559,0.810313075506446,0.0042,0.891689686924494,0.0033,0.1943,0.1444,1.3456,89.17,0.33,81.03,0.42
